"id","group","drink_groom","drink_move/explore","food motivated_groom","food motivated_move/explore","groom_drink","groom_food motivated","groom_move/explore","move/explore_drink","move/explore_food motivated","move/explore_groom","move/explore_shelter","shelter_move/explore"
1,"fed",0,0.724137931034483,0.0184049079754601,0.411042944785276,0,0.0115606936416185,0.526011560693642,0.0445859872611465,0.144373673036093,0.18895966029724,0.220806794055202,0.703448275862069
2,"fed",0.577639751552795,0.397515527950311,0.0155038759689922,0.193798449612403,0.229064039408867,0.00985221674876847,0.672413793103448,0.107692307692308,0.0393162393162393,0.466666666666667,0.112820512820513,0.503937007874016
3,"fed",0,0.583333333333333,0.0251572327044025,0.257861635220126,0,0.036231884057971,0.572463768115942,0.0168674698795181,0.0939759036144578,0.185542168674699,0.363855421686747,0.795698924731183
4,"lira_sd",0.0317460317460317,0.301587301587302,0.0462962962962963,0.314814814814815,0.00393700787401574,0.0393700787401575,0.44488188976378,0.036101083032491,0.122743682310469,0.202166064981949,0.0812274368231047,0.371900826446281
4,"saline_lira",0.111111111111111,0.555555555555556,0.148148148148148,0.490740740740741,0.0196850393700787,0.118110236220472,0.374015748031496,0.0667870036101083,0.191335740072202,0.164259927797834,0.135379061371841,0.611570247933884
5,"lira_sd",0.0181818181818182,0.345454545454545,0.0666666666666667,0.220289855072464,0,0.0576036866359447,0.398617511520737,0.0273972602739726,0.101369863013699,0.236986301369863,0.101369863013699,0.370558375634518
5,"saline_lira",0.0363636363636364,0.6,0.333333333333333,0.379710144927536,0.00460829493087557,0.292626728110599,0.241935483870968,0.0452054794520548,0.161643835616438,0.161643835616438,0.164383561643836,0.614213197969543
7,"lira_sd",0.0288461538461538,0.211538461538462,0.118143459915612,0.379746835443038,0,0.123348017621145,0.568281938325991,0.04,0.144,0.2032,0.1856,0.648351648351648
7,"saline_lira",0.0673076923076923,0.692307692307692,0.10126582278481,0.40084388185654,0.0484581497797357,0.0969162995594714,0.158590308370044,0.1088,0.1536,0.0608,0.104,0.351648351648352
8,"dan_sd",0.154761904761905,0.261904761904762,0.113207547169811,0.10062893081761,0.0246305418719212,0.0509031198686371,0.0853858784893268,0.0201816347124117,0.0363269424823411,0.0494450050454087,0.0161453077699294,0.0691244239631336
8,"lira_sd",0.0238095238095238,0.154761904761905,0.0283018867924528,0.132075471698113,0.00164203612479474,0.0180623973727422,0.264367816091954,0.0141271442986882,0.0403632694248234,0.162462159434914,0.0696266397578204,0.313364055299539
8,"saline_lira",0.0595238095238095,0.0952380952380952,0.0251572327044025,0.232704402515723,0.00164203612479474,0.0164203612479474,0.338259441707718,0.0110998990918264,0.0726538849646821,0.205852674066599,0.0746720484359233,0.336405529953917
8,"veh_sd",0,0.25,0.138364779874214,0.229559748427673,0,0.0722495894909688,0.123152709359606,0.0211907164480323,0.0736629667003027,0.0756811301715439,0.0565085771947528,0.258064516129032
9,"fed",0,1,0.136842105263158,0.863157894736842,0,0.174603174603175,0.793650793650794,0.041044776119403,0.313432835820896,0.164179104477612,0.481343283582089,0.954198473282443
10,"fed",0,1,0.197530864197531,0.802469135802469,0,0.0802139037433155,0.919786096256684,0.0196629213483146,0.182584269662921,0.477528089887641,0.320224719101124,0.982608695652174
12,"fed",0.333333333333333,0.666666666666667,0.171428571428571,0.8,0.0333333333333333,0.1,0.86,0.0427631578947368,0.164473684210526,0.434210526315789,0.358552631578947,0.955357142857143
13,"fed",0.032258064516129,0.0645161290322581,0.01,0.143333333333333,0.00193798449612403,0.00387596899224806,0.39922480620155,0.00568828213879408,0.0500568828213879,0.233219567690557,0.106939704209329,0.53072625698324
13,"lira_sd",0.0161290322580645,0.403225806451613,0.0966666666666667,0.193333333333333,0,0.0465116279069767,0.356589147286822,0.0295790671217292,0.0705346985210466,0.202502844141069,0.0523321956769056,0.245810055865922
13,"saline_lira",0.0967741935483871,0.387096774193548,0.17,0.386666666666667,0.00775193798449612,0.104651162790698,0.0775193798449612,0.0295790671217292,0.129692832764505,0.0466439135381115,0.043230944254835,0.217877094972067
20,"LiCl",0.0704225352112676,0.28169014084507,0.243055555555556,0.3125,0.0238095238095238,0.161904761904762,0.523809523809524,0.051150895140665,0.117647058823529,0.278772378516624,0.051150895140665,0.277777777777778
20,"saline_licl",0,0.647887323943662,0.0763888888888889,0.368055555555556,0.00476190476190476,0.0666666666666667,0.219047619047619,0.115089514066496,0.127877237851662,0.127877237851662,0.130434782608696,0.722222222222222
23,"LiCl",0.0232558139534884,0.127906976744186,0.0292397660818713,0.216374269005848,0.0238095238095238,0.0238095238095238,0.125,0.017578125,0.0703125,0.04296875,0.0390625,0.123188405797101
23,"fed",0,0.174418604651163,0,0.0175438596491228,0,0,0.43452380952381,0.029296875,0.005859375,0.142578125,0.041015625,0.144927536231884
23,"saline_licl",0.0116279069767442,0.162790697674419,0.0175438596491228,0.333333333333333,0.00595238095238095,0.0178571428571428,0.196428571428571,0.02734375,0.109375,0.064453125,0.109375,0.391304347826087
25,"fed",0.08,0.12,0.367066895368782,0.262435677530017,0.00970873786407766,0.43495145631068,0.29126213592233,0.0178784266984505,0.170441001191895,0.185935637663886,0.206197854588796,0.744588744588745
26,"LiCl",0.0310077519379845,0.155038759689922,0.0633802816901408,0.151408450704225,0.00578034682080924,0.0491329479768786,0.115606936416185,0.0275344180225282,0.0563204005006258,0.0463078848560701,0.0237797246558198,0.103260869565217
26,"fed",0.162790697674419,0.224806201550388,0.0211267605633803,0.0845070422535211,0.0664739884393064,0.0202312138728324,0.326589595375723,0.0337922403003755,0.0287859824780976,0.145181476846058,0.0738423028785982,0.326086956521739
