"id","group","avg_bout_length_sec_drink","avg_bout_length_sec_food motivated","avg_bout_length_sec_groom","avg_bout_length_sec_move/explore","avg_bout_length_sec_move/explore - shelter","avg_bout_length_sec_rest/groom in shelter","max_bout_length_sec_drink","max_bout_length_sec_food motivated","max_bout_length_sec_groom","max_bout_length_sec_move/explore","max_bout_length_sec_move/explore - shelter","max_bout_length_sec_rest/groom in shelter","n_bouts_drink","n_bouts_food motivated","n_bouts_groom","n_bouts_move/explore","n_bouts_move/explore - shelter","n_bouts_rest/groom in shelter"
96,"saline_orfo",11.6938461538462,12.6923076923077,4.77894736842105,74.184406779661,1.85209302325581,22.5223076923077,31.28,88.8,12.44,333.92,7.32,248.24,26,39,19,59,43,52
253,"dan_sd",6.83304347826087,21.3372727272727,6.18105263157895,35.883829787234,1.71181818181818,22.8757333333333,21.16,122.96,19.72,279.84,4.96,244.32,23,44,38,94,44,75
253,"veh_sd",9.52129032258064,22.3538095238095,7.89647058823529,13.0363636363636,1.99652173913043,51.694,22.68,155.64,35.08,119.84,5.88,620.64,31,84,34,66,46,60
287,"dan_sd",8.49142857142857,20.7333333333333,4.05,45.5767032967033,1.77802816901408,13.8527272727273,19.08,73.24,9.28,245.16,4.52,85.12,7,24,12,91,71,132
287,"veh_sd",8.97866666666667,19.6339393939394,7.16,91.4614285714286,1.7475,14.24,14.12,76.76,7.16,391.16,3.6,64.28,15,33,1,56,48,63
712,"dan_sd",0,13.6437735849057,8.48081081081081,11.4833802816901,1.80285714285714,16.234962962963,0,64,60.76,97.52,4.56,281.4,0,53,148,142,70,135
712,"veh_sd",8.26444444444444,14.6117073170732,8.93423728813559,27.5590769230769,1.85703703703704,8.63230769230769,17.64,58.44,48.08,269.2,3.88,70.24,18,41,118,130,54,52
718,"dan_sd",5.76,22.0857142857143,7.06,26.6816,1.97170731707317,54.5113725490196,5.76,73.6,29.08,258.32,5.68,671.64,1,28,12,25,41,102
718,"veh_sd",7.85142857142857,11.9333333333333,4.954,62.9130434782609,1.80555555555556,39.1264516129032,18.36,68.12,12.04,390.6,4.04,221.04,14,87,20,46,36,62
720,"dan_sd",6.81142857142857,15.6920634920635,8.776,15.0271186440678,1.64903225806452,62.3436065573771,15.8,78.88,59.4,119.92,3.96,1439.2,7,63,80,59,31,61
720,"veh_sd",5.6176,16.4412121212121,7.99052631578947,30.8418348623853,2.231,9.93046153846154,11.88,131.16,70.76,195.76,4.84,128.08,25,66,76,109,40,65
786,"dan_sd",2.08,8.83,13.9365384615385,37.1319230769231,2.12111111111111,17.9720930232558,2.08,21.92,189.12,241.64,4.2,129.12,1,16,104,104,36,43
786,"veh_sd",10.5310344827586,19.56875,8.15714285714286,57.8446153846154,1.84075471698113,19.5629787234043,29.08,114.84,19.48,305.04,5.24,299.88,29,64,14,52,53,94
1006,"dan_sd",5.98285714285714,12.8605128205128,3.87789473684211,34.2275362318841,1.71864406779661,14.6762666666667,11.56,44.28,8.28,223.56,6.32,140.96,28,39,19,138,59,75
1006,"veh_sd",9.07354838709678,21.3691666666667,4.01647058823529,37.9209302325581,1.71098591549296,15.8737931034483,20.12,86.56,8.6,214,4.72,183.68,31,48,17,86,71,116
1207,"lira_sd",5.72571428571429,5.09333333333333,7.80190476190476,30.3758974358974,1.828,51.5509090909091,13.2,12.52,33.68,178.96,3.88,1007.36,7,9,63,78,40,66
