id,group,avg_bout_length_sec_drink,avg_bout_length_sec_food motivated,avg_bout_length_sec_groom,avg_bout_length_sec_move/explore,avg_bout_length_sec_move/explore - shelter,avg_bout_length_sec_rest/groom in shelter,max_bout_length_sec_drink,max_bout_length_sec_food motivated,max_bout_length_sec_groom,max_bout_length_sec_move/explore,max_bout_length_sec_move/explore - shelter,max_bout_length_sec_rest/groom in shelter,n_bouts_drink,n_bouts_food motivated,n_bouts_groom,n_bouts_move/explore,n_bouts_move/explore - shelter,n_bouts_rest/groom in shelter
12,fed,6.285,12.939047619047619,6.877460317460317,9.736629213483146,1.7664705882352942,16.56953846153846,19.08,68.8,35.76,82.84,5.24,947.0,8.0,21.0,63.0,89.0,136.0,260.0
13,fed,4.18,6.05,8.164835164835164,26.11479674796748,1.8628169014084506,12.375225806451613,5.76,8.84,46.32,179.24,7.72,163.72,4.0,8.0,91.0,123.0,142.0,155.0
13,lira_sd,4.4675,20.38235294117647,9.23495145631068,25.92508474576271,1.7371428571428573,21.774426229508197,15.88,194.36,36.72,257.64,4.64,122.28,16.0,34.0,103.0,118.0,56.0,61.0
13,saline_lira,5.093999999999999,11.87,4.516666666666667,64.74877192982456,1.6186666666666667,27.00266666666667,10.48,81.76,16.16,277.04,3.52,149.24,20.0,84.0,12.0,57.0,45.0,60.0
20,LiCl,8.0,12.332799999999999,6.540392156862745,49.28536585365854,1.9181818181818182,26.198840579710144,12.48,97.12,22.6,373.4,4.0,251.04,9.0,25.0,51.0,82.0,44.0,69.0
20,saline_licl,4.953333333333333,21.020740740740738,6.607058823529412,68.7464705882353,1.597037037037037,25.108571428571427,10.6,55.44,19.96,532.12,3.4,240.08,24.0,27.0,17.0,68.0,27.0,49.0
23,LiCl,5.057142857142857,18.697777777777777,3.36,10.172307692307692,1.8745454545454547,49.27642276422765,8.96,80.32,5.84,34.6,4.08,1343.04,7.0,27.0,9.0,13.0,66.0,123.0
23,fed,4.52,0.0,5.063030303030303,75.40816326530611,2.076595744680851,23.948813559322033,9.12,0.0,15.44,262.48,10.92,685.16,7.0,0.0,33.0,49.0,47.0,118.0
23,no_inject,5.6872727272727275,26.867906976744184,4.03,36.027096774193545,1.7058823529411766,51.28190476190476,11.2,134.88,5.44,206.28,4.24,630.84,22.0,43.0,8.0,31.0,51.0,84.0
23,saline_licl,5.563076923076923,22.95448275862069,3.6171428571428574,76.508,1.764,13.973333333333333,12.64,65.8,6.44,561.92,7.12,121.92,13.0,29.0,7.0,70.0,50.0,39.0
24,LiCl,7.3,16.50758620689655,10.16,13.158148148148149,1.8405633802816903,26.07898305084746,13.44,81.08,45.72,146.12,5.8,645.04,16.0,58.0,74.0,108.0,71.0,118.0
24,fed,5.704444444444444,12.569454545454546,5.880408163265306,24.93433962264151,1.9702564102564102,3.968,13.2,106.32,16.72,163.96,7.04,44.96,18.0,55.0,98.0,159.0,78.0,55.0
24,no_inject,9.931111111111111,19.799148936170212,5.062857142857143,5.468,1.8254545454545452,44.624873949579836,18.2,141.44,11.2,15.8,4.96,701.44,18.0,47.0,14.0,20.0,77.0,119.0
24,saline_licl,6.334545454545455,23.049142857142854,2.62,25.172857142857143,1.703125,52.327619047619045,11.8,112.72,2.92,106.6,5.0,904.88,11.0,35.0,2.0,56.0,64.0,84.0
25,fed,4.4,7.464117647058823,6.290212765957446,20.671153846153846,2.1050746268656715,9.347096774193549,8.6,38.48,22.52,160.76,8.08,649.52,14.0,68.0,141.0,104.0,134.0,217.0
25,no_inject,6.021538461538462,10.02357142857143,4.018888888888889,8.965625,2.036363636363636,33.87851851851852,13.64,62.16,10.44,45.64,6.32,713.8,26.0,56.0,36.0,64.0,88.0,135.0
26,LiCl,5.396,11.563809523809523,17.764,9.3175,1.8748936170212767,51.3130909090909,8.92,76.68,82.56,39.84,5.44,1041.52,10.0,21.0,30.0,32.0,47.0,110.0
26,fed,4.887272727272728,14.755999999999998,7.90060606060606,23.340363636363637,1.9218181818181819,32.246476190476194,11.44,61.64,23.72,105.8,8.96,597.56,11.0,10.0,33.0,110.0,66.0,105.0
26,no_inject,5.934,18.388965517241378,4.256470588235294,44.77483146067416,1.8276923076923077,14.546835443037974,17.44,90.2,7.4,240.44,5.32,172.12,20.0,58.0,17.0,89.0,52.0,79.0
26,saline_licl,4.95,22.1025,3.48,18.154545454545456,2.280842105263158,38.072761904761904,8.64,103.04,5.0,262.8,8.44,887.48,8.0,32.0,6.0,88.0,95.0,105.0
27,LiCl,8.97,25.106666666666666,6.555294117647058,34.7940350877193,1.9663865546218489,8.794285714285714,30.04,78.68,29.36,227.28,5.48,120.24,20.0,18.0,51.0,114.0,119.0,161.0
27,saline_licl,9.544444444444444,25.17391304347826,4.377142857142857,51.92347826086957,2.03,8.67529411764706,34.16,117.16,9.68,365.08,5.28,156.52,18.0,23.0,14.0,92.0,68.0,102.0
69,dan_sd,5.528,17.774444444444445,7.248235294117648,41.124705882352934,2.0272727272727273,115.35515151515152,12.64,80.96,28.36,242.2,4.88,1046.68,5.0,36.0,34.0,51.0,22.0,33.0
69,veh_sd,4.0,10.093538461538461,3.601428571428572,17.63632183908046,1.9011764705882355,34.50127659574468,6.24,73.48,13.24,84.36,5.48,566.2,4.0,130.0,28.0,174.0,34.0,47.0
93,orfo,4.827368421052632,12.023076923076923,9.474098360655738,12.809767441860465,4.292054794520548,8.522372881355931,8.68,162.32,132.12,178.8,39.12,113.48,19.0,78.0,122.0,172.0,73.0,118.0
93,saline_orfo,4.94,9.909610389610389,5.823673469387756,23.21685534591195,5.94788990825688,4.590810810810811,7.88,56.24,28.4,219.96,49.04,26.6,6.0,77.0,49.0,159.0,109.0,74.0
96,orfo,9.978181818181818,14.601600000000001,7.314782608695652,92.07461538461538,1.777,21.676363636363636,24.76,64.28,38.0,485.28,6.12,209.28,22.0,25.0,23.0,52.0,40.0,55.0
96,saline_orfo,11.693846153846154,12.692307692307693,4.778947368421052,74.18440677966102,1.8520930232558142,22.52230769230769,31.28,88.8,12.44,333.92,7.32,248.24,26.0,39.0,19.0,59.0,43.0,52.0
253,dan_sd,6.83304347826087,21.337272727272726,6.181052631578947,35.88382978723404,1.711818181818182,22.875733333333333,21.16,122.96,19.72,279.84,4.96,244.32,23.0,44.0,38.0,94.0,44.0,75.0
253,veh_sd,9.521290322580645,22.353809523809524,7.896470588235294,13.036363636363637,1.9965217391304346,51.693999999999996,22.68,155.64,35.08,119.84,5.88,620.64,31.0,84.0,34.0,66.0,46.0,60.0
287,dan_sd,8.491428571428571,20.733333333333334,4.05,45.5767032967033,1.7780281690140844,13.852727272727272,19.08,73.24,9.28,245.16,4.52,85.12,7.0,24.0,12.0,91.0,71.0,132.0
287,veh_sd,8.978666666666667,19.633939393939396,7.16,91.46142857142857,1.7475,14.24,14.12,76.76,7.16,391.16,3.6,64.28,15.0,33.0,1.0,56.0,48.0,63.0
712,dan_sd,0.0,13.64377358490566,8.48081081081081,11.48338028169014,1.8028571428571427,16.234962962962964,0.0,64.0,60.76,97.52,4.56,281.4,0.0,53.0,148.0,142.0,70.0,135.0
712,veh_sd,8.264444444444445,14.611707317073172,8.934237288135593,27.559076923076923,1.857037037037037,8.632307692307693,17.64,58.44,48.08,269.2,3.88,70.24,18.0,41.0,118.0,130.0,54.0,52.0
718,dan_sd,5.76,22.085714285714285,7.06,26.6816,1.9717073170731707,54.511372549019605,5.76,73.6,29.08,258.32,5.68,671.64,1.0,28.0,12.0,25.0,41.0,102.0
718,veh_sd,7.851428571428571,11.933333333333332,4.954,62.91304347826087,1.8055555555555554,39.126451612903224,18.36,68.12,12.04,390.6,4.04,221.04,14.0,87.0,20.0,46.0,36.0,62.0
720,dan_sd,6.811428571428571,15.692063492063491,8.776,15.027118644067796,1.6490322580645163,62.34360655737705,15.8,78.88,59.4,119.92,3.96,1439.2,7.0,63.0,80.0,59.0,31.0,61.0
