id,group,drink_groom,drink_move/explore,food motivated_groom,food motivated_move/explore,groom_drink,groom_food motivated,groom_move/explore,move/explore_drink,move/explore_food motivated,move/explore_groom,move/explore_shelter,shelter_move/explore
1,dan_hfd_light,0.0,0.0,0.012269938650306749,0.06748466257668712,0.0,0.011560693641618497,0.0,0.0,0.02335456475583864,0.0,0.008492569002123142,0.020689655172413793
1,dan_sd_light,0.0,0.0,0.03680981595092025,0.05521472392638037,0.0,0.028901734104046242,0.028901734104046242,0.0,0.01910828025477707,0.008492569002123142,0.008492569002123142,0.020689655172413793
1,fed,0.0,0.7241379310344828,0.018404907975460124,0.4110429447852761,0.0,0.011560693641618497,0.5260115606936416,0.044585987261146494,0.14437367303609341,0.18895966029723993,0.2208067940552017,0.7034482758620689
1,veh_hfd_light,0.0,0.1724137931034483,0.006134969325153374,0.2822085889570552,0.005780346820809248,0.011560693641618497,0.2138728323699422,0.008492569002123142,0.09341825902335456,0.08280254777070063,0.050955414012738856,0.15862068965517243
1,veh_sd_light,0.0,0.10344827586206896,0.03680981595092025,0.0736196319018405,0.0,0.03468208092485549,0.12138728323699421,0.006369426751592357,0.025477707006369428,0.044585987261146494,0.021231422505307854,0.06896551724137931
2,dan_hfd_light,0.0,0.0,0.007751937984496124,0.18604651162790697,0.0,0.0,0.014778325123152709,0.0,0.042735042735042736,0.008547008547008548,0.017094017094017096,0.07086614173228346
2,dan_sd_light,0.0,0.0,0.10852713178294573,0.14728682170542637,0.0,0.034482758620689655,0.007389162561576354,0.0,0.03247863247863248,0.005128205128205128,0.010256410256410256,0.047244094488188976
2,fed,0.577639751552795,0.39751552795031053,0.015503875968992248,0.1937984496124031,0.229064039408867,0.009852216748768473,0.6724137931034483,0.1076923076923077,0.039316239316239315,0.4666666666666667,0.11282051282051282,0.5039370078740157
2,veh_hfd_light,0.0,0.012422360248447204,0.03875968992248062,0.2868217054263566,0.0,0.007389162561576354,0.012315270935960592,0.003418803418803419,0.06666666666666667,0.005128205128205128,0.05641025641025641,0.25984251968503935
2,veh_sd_light,0.0,0.0,0.0,0.007751937984496124,0.0,0.0,0.009852216748768473,0.0,0.0017094017094017094,0.006837606837606838,0.017094017094017096,0.07874015748031496
3,dan_hfd_light,0.0,0.0,0.012578616352201259,0.18867924528301888,0.0,0.014492753623188406,0.08695652173913043,0.0,0.07228915662650602,0.02891566265060241,0.02891566265060241,0.05913978494623656
3,dan_sd_light,0.0,0.0,0.0,0.07547169811320754,0.0,0.0,0.0,0.0,0.02891566265060241,0.0,0.007228915662650603,0.016129032258064516
3,fed,0.0,0.5833333333333334,0.025157232704402517,0.2578616352201258,0.0,0.036231884057971016,0.572463768115942,0.016867469879518072,0.09397590361445783,0.1855421686746988,0.363855421686747,0.7956989247311828
3,veh_hfd_light,0.08333333333333333,0.3333333333333333,0.18238993710691823,0.2578616352201258,0.007246376811594203,0.18840579710144928,0.07246376811594203,0.00963855421686747,0.10602409638554217,0.016867469879518072,0.04096385542168675,0.08602150537634409
4,lira_sd,0.031746031746031744,0.30158730158730157,0.046296296296296294,0.3148148148148148,0.003937007874015748,0.03937007874015748,0.4448818897637795,0.036101083032490974,0.12274368231046931,0.20216606498194944,0.0812274368231047,0.371900826446281
4,saline_lira,0.1111111111111111,0.5555555555555556,0.14814814814814814,0.49074074074074076,0.01968503937007874,0.11811023622047244,0.37401574803149606,0.06678700361010831,0.19133574007220217,0.16425992779783394,0.13537906137184116,0.6115702479338843
5,lira_sd,0.01818181818181818,0.34545454545454546,0.06666666666666667,0.22028985507246376,0.0,0.0576036866359447,0.3986175115207373,0.0273972602739726,0.10136986301369863,0.236986301369863,0.10136986301369863,0.37055837563451777
5,saline_lira,0.03636363636363636,0.6,0.3333333333333333,0.37971014492753624,0.004608294930875576,0.2926267281105991,0.24193548387096775,0.045205479452054796,0.16164383561643836,0.16164383561643836,0.1643835616438356,0.6142131979695431
7,lira_sd,0.028846153846153848,0.21153846153846154,0.11814345991561181,0.379746835443038,0.0,0.12334801762114538,0.5682819383259912,0.04,0.144,0.2032,0.1856,0.6483516483516484
7,saline_lira,0.0673076923076923,0.6923076923076923,0.10126582278481013,0.4008438818565401,0.048458149779735685,0.09691629955947137,0.15859030837004406,0.1088,0.1536,0.0608,0.104,0.3516483516483517
8,dan_sd,0.15476190476190477,0.2619047619047619,0.11320754716981132,0.10062893081761007,0.024630541871921183,0.05090311986863711,0.08538587848932677,0.020181634712411706,0.03632694248234107,0.04944500504540868,0.016145307769929364,0.06912442396313365
8,lira_sd,0.023809523809523808,0.15476190476190477,0.02830188679245283,0.1320754716981132,0.0016420361247947454,0.0180623973727422,0.26436781609195403,0.014127144298688193,0.04036326942482341,0.16246215943491424,0.06962663975782038,0.31336405529953915
8,saline_lira,0.05952380952380952,0.09523809523809523,0.025157232704402517,0.23270440251572327,0.0016420361247947454,0.016420361247947456,0.33825944170771755,0.011099899091826439,0.07265388496468214,0.2058526740665994,0.07467204843592332,0.33640552995391704
8,veh_sd,0.0,0.25,0.13836477987421383,0.22955974842767296,0.0,0.0722495894909688,0.12315270935960591,0.02119071644803229,0.07366296670030273,0.07568113017154389,0.056508577194752774,0.25806451612903225
9,fed,0.0,1.0,0.1368421052631579,0.8631578947368421,0.0,0.1746031746031746,0.7936507936507936,0.041044776119402986,0.31343283582089554,0.16417910447761194,0.48134328358208955,0.9541984732824428
10,fed,0.0,1.0,0.19753086419753085,0.8024691358024691,0.0,0.08021390374331551,0.9197860962566845,0.019662921348314606,0.18258426966292135,0.47752808988764045,0.3202247191011236,0.9826086956521739
12,fed,0.3333333333333333,0.6666666666666666,0.17142857142857143,0.8,0.03333333333333333,0.1,0.86,0.04276315789473684,0.16447368421052633,0.4342105263157895,0.35855263157894735,0.9553571428571429
13,fed,0.03225806451612903,0.06451612903225806,0.01,0.14333333333333334,0.001937984496124031,0.003875968992248062,0.3992248062015504,0.005688282138794084,0.05005688282138794,0.23321956769055746,0.10693970420932879,0.5307262569832403
13,lira_sd,0.016129032258064516,0.4032258064516129,0.09666666666666666,0.19333333333333333,0.0,0.046511627906976744,0.35658914728682173,0.02957906712172924,0.07053469852104664,0.2025028441410694,0.05233219567690557,0.24581005586592178
